Table,Column Name,Data Type,Mode,Description
b2s_meta_acquisition_demo_breakdown_by_date_report,date,TIMESTAMP,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,advertising_account_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,advertising_account_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,advertising_channel,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,campaign_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,campaign_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,campaign_delivery,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,adset_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,adset_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,adset_delivery,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,ad_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,ad_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,ad_delivery,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,client_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,client_offer,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,spend,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,impressions,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,reach,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,clicks,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,raw_clicks,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,unique_outbound_clicks,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,conversions,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,leads,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,registrations,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,conversion_value,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,rep_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,age,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,gender,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,media_buyer,STRING,NULLABLE,No description available
b2s_meta_acquisition_demo_breakdown_by_date_report,active,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,date,TIMESTAMP,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,advertising_account_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,advertising_account_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,advertising_channel,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,campaign_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,campaign_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,campaign_delivery,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,adset_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,adset_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,adset_delivery,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,ad_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,ad_id,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,ad_delivery,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,client_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,client_offer,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,spend,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,impressions,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,reach,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,clicks,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,raw_clicks,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,unique_outbound_clicks,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,conversions,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,leads,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,registrations,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,conversion_value,FLOAT,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,rep_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,impression_device,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,platform_name,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,platform_position,STRING,NULLABLE,No description available
b2s_meta_acquisition_tech_breakdown_by_date_report,media_buyer,STRING,NULLABLE,No description available
